id,x,y
866,2.32839,48.81248
867,2.5344,48.84566
868,2.38248,48.83372
869,2.38452,48.83484
870,2.31297,48.85882
871,2.31341,48.86248
872,2.37477,48.8257
873,2.37476,48.82608
874,2.37422,48.82708
875,2.3468,48.85307
876,2.35738,48.87481
877,2.3575,48.875
878,2.36844,48.8326
879,2.36868,48.83241
880,2.33139,48.8732
881,2.33106,48.87304
882,2.40203,48.84484
883,2.40023,48.84002
884,2.29125,48.85222
885,2.29208,48.85299
886,2.37099,48.83264
887,2.36918,48.83116
888,2.37884,48.84054
889,2.3065,48.83628
890,2.30555,48.83515
891,2.37546,48.82682
892,2.37454,48.8265
893,2.37376,48.83746
894,2.34944,48.85727
895,2.34921,48.85716
896,2.32327,48.82386
897,2.3243,48.8257
898,2.32518,48.82211
899,2.32511,48.82184
900,2.31467,48.82223
901,2.32063,48.82089
902,2.32404,48.8202
903,2.3234,48.81932
904,2.32491,48.82217
905,2.32467,48.82223
906,2.33066,48.80886
907,2.3306,48.80981
908,2.32651,48.82792
909,2.32594,48.82812
910,2.29301,48.85139
911,2.29373,48.85187
912,2.29267,48.85256
913,2.29496,48.85105
914,2.31098,48.84537
915,2.31077,48.8454
916,2.3166,48.83908
917,2.31642,48.83894
918,2.31774,48.83722
919,2.31683,48.83714
920,2.31563,48.83634
921,2.31537,48.83593
922,2.28873,48.85472
923,2.28855,48.85485
924,2.31346,48.86297
925,2.3191,48.8627
926,2.31913,48.86275
927,2.35133,48.85117
928,2.35136,48.85123
929,2.36787,48.84191
930,2.368,48.84198
931,2.37978,48.83224
932,2.38006,48.83238
933,1.86957,48.97009
934,1.864,48.96928
935,1.8596,48.96839
936,1.84459,48.96425
937,1.84079,48.96354
938,1.83726,48.96319
939,1.83433,48.96316
940,1.83106,48.96335
941,1.82715,48.96387
942,2.28121,48.71314
943,2.27374,48.71434
944,2.25107,48.70835
945,2.25195,48.71053
946,2.29104,48.71681
947,2.28932,48.71462
948,2.28569,48.71309
949,2.28431,48.71281
950,2.34682,48.78312
951,2.34666,48.78399
952,1.80732,48.52146
953,1.82368,48.52406
954,1.83162,48.52563
955,2.33312,48.66629
956,2.335,48.66626
957,2.33783,48.66566
958,2.36129,48.65014
959,2.36744,48.64966
960,2.35209,48.63937
961,2.35204,48.63888
